Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
"1 Bedroom, 1 Bathroom, condo with parking for rent",2650,"Toronto, ON M5V 4B2",2024-03-12 02:45:29,Condo,1,1,"Hydro_No,Heat_Yes,Water_Yes",Cable / TVInternet,1,1 Year,"March 16, 2024",Limited,550,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Walk to Rogers Centre and Lake Shore water front, 1 traffic light drive to entry QEW/Spadina Ave. The top at 22nd floor, 1 bedroom, 1 car park with no blocking city view is the best for living, studying, or working in downtown area. There is 24 hour security and concierge service. Toronto Canoe Landing Community Recreation Centre is steps from the building. Please provide information: Completed application form; Proof of employment; Full time university student with sponsorship; Credit check; 2 References; First and Last month's deposit are needed for final agreement signing.",146 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-1-bathroom-condo-with-parking-for-rent/1685969902
Parking for Rent - Hazelton Ave. & Yorkville Ave.,350,"Hazelton Ave, Toronto, ON M5R, Canada",2024-03-12 02:44:18,,,,,,,,,,,,,,,,,Parking for Rent - Hazelton Ave. & Yorkville Ave.,,https://www.kijiji.ca/v-storage-parking/city-of-toronto/parking-for-rent-hazelton-ave-yorkville-ave/1589755915
Young and finch subway nice bedroom for rent,850,"Athabaska Ave, North York, ON M2M",2024-03-12 02:43:09,,,,,,,,,No,,Yes,,,,,,"1 minute to young street , centre point mall . 5 minutes to finch subway station. One of the best locations in Toronto. 1 minute Walking to gym , no frills , banks , food court , dollar Rama , Canadian tire ,Tim hortons, everything. 1 bus ticket to Toronto , Markham , Richmond, Vaughn city , new market......one room on the first floor $950, another one on the in the basement is $850. Including wifi everything. Very friendly landlord best neighborhood , Sorry we have No parking , single guy only , please kindly tell me your work and phone number , student are also welcome.",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/young-and-finch-subway-nice-bedroom-for-rent/1687970928
Summer sublet across UofT,1235,"Toronto, ON M5T 1X2",2024-03-12 02:42:53,,,,,,,,,,,Yes,,,,,,"House is located on Henry St. across from U of T
Looking for a clean, mature female sub-tenant to sublease a furnished room on the 2nd fl with a shared bath. This is a 3bdrm/2bth unit in a renovated Victorian house across UofT near University/College
First floor: living room, kitchen, walk-out deck to backyard
2nd floor: 2 bdrm and bath
Bsmt: 1 bdrm and bath
Your roommate on the 2nd floor is a female PhD student; and your roommate in the bsmt just completed her undergrad studies. Both girls are in their mid 20's.
**This is a great location close to UofT, OCAD, MTU, teaching hospitals, gov't offices, financial district.
**Baldwin Village is down the street; Chinatown and Kensington Market is a 5 min walk; Freshco, Metro, FarmBoy, Loblaws, T&T are all within a 10-15 min walk.
**Baldwin Village is a small friendly street lined with outdoor cafes, patios, restaurants, coffee shops, restaurants
**2 min to College 506 streetcar, or 510 Spadina streetcar, 4 min walk to Queens Park subway
**AGO, ROM, Gardiner Museum, theatres, Grange Park, all nearby
**Laundry in bldg
**Utilities and wifi extra.
Sublease from May to August
If you are interested, please tell me a little bit about yourself.",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/summer-sublet-across-uoft/1687970908
Underground parking spot starting May 1,250,"321 Carlaw Ave, Toronto, ON M4M 2S1",2024-03-12 02:42:12,,,,,,,,,,,,,,,,,"Underground parking spot available for rent P1 of condo 321 Carlaw in Leslieville
$250/mo starting May 1. Please message if interested.",2 visits,https://www.kijiji.ca/v-storage-parking/city-of-toronto/underground-parking-spot-starting-may-1/1687970871
APRIL 1ST ROOM FOR RENT AT EGLINTON AND CALEDONIA,850,"Croham Rd, York, ON M6E",2024-03-12 02:40:58,,,,,,,,,No,,Yes,,,,,,"- MALE ONLY
- Rent is $850 Firm
- First and last month's rent required
- Room available in the SHARED BASEMENT
- bathroom and kitchen shared with 3 ROOMMATES
- SHARED CLEANING OF COMMON AREAS (HALLWAYS, BATHROOM/KITCHEN) WITH ROOMMATES
-STREET PARKING ONLY AVAILABLE
- ROOM FOR 1 ONLY
- Fully furnished room with a SINGLE bed, LED TV, computer desk with chair, side table with LED lamp, MINI FRIDGE WITH FREEZER, Mirror, and Wardrobe closet.
- Rent includes heat, hydro, AC, water, BELL SERVICE GIGABIT FIBE INTERNET WITH UNLIMITED DOWNLOAD
- Coin Laundry in house
- 8 - 10 mins by bus to Eglinton West subway station
- 25 mins by bus/subway to Union subway station
- Renovated HOUSE come and see to take a look for yourself
Restrictions:
- No couples/children
- No pets
- Reply with your name and a brief description of yourself
Thank you for looking",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/april-1st-room-for-rent-at-eglinton-and-caledonia/1687970789
Furnished Room For Male - Toronto Eglinton Ave West and Keele St,950,"2694 Eglinton Ave W, Toronto, M6M 1T9",2024-03-12 02:38:54,,,,,,,,,No,,Yes,,,,,,"Available - April 1st - $950/month - Single occupant! - Parking is $75/month
Private bedroom, private bathroom, shared kitchen
Furnished room: Bed frame, wardrobe closet, mattress, desk lamp, table and chair
Located near Keele St and Eglinton Avenue West, a few steps away from future Keelesdale Station and Crosstown trains. Close to all amenities - TTC, shopping, schools - all within walking distance.
Cleanliness and Responsibility: Your well-being is our priority! We are looking for a CLEAN, quiet, responsible, friendly and respectful mature working MALE.
Internet, Hydro, Water and Gas are included.
Required:
-Any kind of smoking is not permitted within the house.
-No parties or events are allowed.
-No overnight guests
-No pets
-One year lease
-Payment last month and keys deposit
-Two pieces of identification
-Recent credit report, current employment letter and pay stubs, and references
*Note: Only serious enquirers with a brief introduction of yourself including your name, contact number, your work/school will receive a response.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-for-male-toronto-eglinton-ave-west-and-keele-st/1687970642
Downtown Underground Parking $150,150,"3 Navy Wharf Ct, Toronto, ON M5V 3V1",2024-03-12 02:36:35,,,,,,,,,,,,,,,,,"Available starting April 11th.
-$100 deposit for FOB required which will be returned once you stop renting
-$150/month is cheapest rate
-Right next to Rogers Centre and CN Tower
-Right next to Spadina Street Car
-Walking distance to Scotiabank Arena and Union StationShow less",5 visits,https://www.kijiji.ca/v-storage-parking/city-of-toronto/downtown-underground-parking-150/1687970521
1BR condo with hotel-like amenities - Bloor/Parliament,2380,"Bloor Street East, Toronto, ON",2024-03-12 02:36:14,Condo,1,1,,Internet,0,1 Year,"April 1, 2024",Yes,553,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","The 1-bedroom 1-bathroom unit at 575 Bloor E (corner of Bloor St E & Parliament St) will be available for rent on April 1st. It is right between Sherborne and Castle Frank TTC Stations (5 min walk to either station). The 553 ft2 unit is unfurnished with a large balcony, and is located on the 35th floor facing west. Asking rent is $2380 with wifi included (excluding utilities) and the tenant needs to get their own insurance. No locker nor parking available (a number of parking spots available from other tenants).
The building is Via Bloor Tower 1, newly constructed in 2021 and equipped with hotel-like amenities (outdoor pool, spa, large gym, theatre, etc) - see link below for amenities. Please message if interested. https://www.tridel.com/viabloor/amenities/",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1br-condo-with-hotel-like-amenities-bloor-parliament/1687970504
"Spacious, light-filled studio apartment in vibrant neighbourhood",1750,"Dupont Street, Toronto, ON",2024-03-12 02:32:46,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"May 1, 2024",Yes,190,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",24 Hour Security,"One-of-a-kind, light-filled, newly renovated studio apartment with easy access to TTC transit (Spadina Station just a walk away), amazing restaurants and cafes nearby and more! This is the renter looking to assign the lease for the next six months. The lease ends in December and than you can choose to renew if you would like. Not looking for a subletter. Shared laundry in the basement is a breeze to use.Very attentive landlords. Move in and Enjoy. Parking available for addtnl cost. Utilities not incl. Incl. modern appliances: fridge, microwave, and stove. If interested, please respond with a short description about yourself. Here are the documents required:
1) copy of photo ID (and work permit or permanent residency if international applicants or academic info if student)",19 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-light-filled-studio-apartment-in-vibrant-neighbourhood/1687970316
One Bedroom Condo - Direct access to Sheppard subway,2500,"North York, ON M2N 7G8",2024-03-12 02:31:14,Condo,1,1,"Hydro_No,Heat_No,Water_Yes",Not Included,1,1 Year,"May 1, 2024",Yes,550,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building",I have a one bedroom condo for rent. It has direct access to the sheppard and north york subway station.,9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-condo-direct-access-to-sheppard-subway/1687970237
Gorgeous 1 Bedroom + 1 Den - 125 Peter Street  Toronto,2450,"125 Peter St, Toronto, ON M5V 0P1",2024-03-12 02:29:35,Condo,1 + Den,1,,Not Included,0,1 Year,"April 1, 2024",No,640,No,Yes,Not Included,Outdoors only,,,"Gorgeous 1 Bedroom + Den (Den can be used as a 2nd Bedroom) 9 ft ceiling Condo Suite is in the heart of Downtown TORONTO is currently for rent. Sliding doors leading to large balcony.
Front load washer and dryer.
It’s Walking distance to:grocery store, Tim Hortons, Starbucks, TTC, CN Tower, Rogers Centre, Financial, Entertainment and Fashion District, Restaurants and many more. The amenities included are a Gym/Exercise Room, Yoga & Pilates Studio, Theatre Room, Games Room, Party Room, Library, Rooftop Terrace, etc. Suite comes with Stainless Steel (Energy Star) appliances (Fridge, Stove, Dishwasher and Microwave).
No Pets, No Smoker, Please.
Hydro & Internet is not included
Requirements Are: Employment Letter, Full Credit Report and Identifications
If you are interested please contact me at
647-502-6417 or 647-225-6918",9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/gorgeous-1-bedroom-1-den-125-peter-street-toronto/1687970131
Room for Rent,1365,"219 Dundas St E, Toronto, ON M5A 1Z7",2024-03-12 02:29:00,,,,,,,,,,,Yes,,,,,,"Renting a spacious den in one-bedroom plus den condo in downtown Toronto. Just a short walk from Eaton Center, enjoy the convenience of numerous restaurants in the vicinity. Seeking someone to share this unit with a lovely balcony.
The condo is furnished. Rent includes everything (utilities, Wifi , insurance etc).
It’s available from April 01 for occupancy.
The building offers 24 hr concierge, a Children's Playroom, Study Area, Gaming Lounge, Theatre Room, Dining Room, Kitchen Event Lounge, Terrace with BBQs, Gym, and a Guest Suite.
A little about myself- I’m full-time working female in my late twenties. Please text me to set up a viewing or if you have any questions.",18 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1687970101
Indian girl offering a private room for female only,600,"Scarborough, ON M1B 2J7",2024-03-12 02:28:10,,,,,,,,,No,,Yes,,,,,,"Accommodation Available for 2 or 3 people preferably students, 2 Rooms and 1 vacant space in Living Room and shared washroom.
*** use as your private room or in sharing *****
****NO COUPLES
****do not message to ask if it is available **** if the ad is up, it is available
Private room Rent $600 or $625 included all utilities (Wi-Fi, all utilities) or $550 + utilities.
Shared Room Rent $450 included all utilities or $400 + utilities.
Only for very clean and quiet GIRLS, (students/working persons preferred)
Asian/Nepal/Bangladesh/ Tamil, Telugu, Malayalam, Hindi, Gujarati etc.
This is a shared place, limited cooking.
Separate fridge for vegetarians
Free Wi-Fi, Onsite Laundry
Landlord will arrange weekly cleaning to maintain a clean house, in addition every week we will do a proper clean of common areas, (bathrooms, kitchen floors, countertop etc.). You can choose to participate or financially contribute to a clean.
If you like the place, then Rent will be negotiated.
Address: Lionhead Trail, Near Meadowvale Rd and Sheppard Ave E, Scarborough
If this place is far for you, don't waste your time. Before you contact me, please check the precise location, and if you are interested in the location, please give me your name and phone number, I will contact you. Thank you for looking.",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/indian-girl-offering-a-private-room-for-female-only/1687970061
2 Bed 1 Bath Furnished Brand New Apt. Christie and Bloor,3000,"Toronto, ON M6G 1R3",2024-03-12 02:27:40,Duplex/Triplex,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"April 1, 2024",Limited,900,Yes,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,2 Bed 1 Bath Furnished Brand New Apt. Christie and Bloor,8 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-furnished-brand-new-apt-christie-and-bloor/1687970029
East York renovated 1 bedroom Basement unit 5 minutes to Subway,1850,"East York, ON M4C 4H6",2024-03-12 02:26:46,Basement,1,1,,Not Included,0,1 Year,"May 1, 2024",Limited,650,No,Yes,Yard,No,"Laundry (In Unit), Fridge / Freezer",,"Welcome to the renovated 1 bedroom basement apartment unit in a house. The unit locates in a family-friendly neighbourhood in trendy East York. 5 minutes walking distance to Woodbine Subway station. Walk to great shops, cafes, , restaurants, grocery store, banking & pharmacy. Close to Woodbine beach, Taylor Creek Park, DVP, Hospital, Library & Civic Centre. Minutes subway transit to Downtown area, universities, United Health Network and government and commercial buildings. Enjoy the convenient living location at East York!
Features about the unit:
•	A walk up basement unit with separate entrance though the fully fenced backyard.
•	5 minutes walking distance to Woodbine Station.
•	Specious new kitchen area with stainless steel appliances.
•	Private laundry in the unit.
•	Closet area with storage
•	Engineered laminate flooring throughout.
•	Suitable for clean and quiet single or couple
•	Tenant to 1/3 of water & Heat, Hydro utilities.
Please kindly provide a description with a bio of who you are, what you do, and what your moving plan is. Thank you for your time and interest!",9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/east-york-renovated-1-bedroom-basement-unit-5-minutes-to-subway/1687969964
"3,000 - 20,000 sqft Industrial Warehouse Space for Rent in GTA",4450,"-, Toronto, ON, M6A 3A1",2024-03-07 16:25:38,,,,,,,,,,"3,000",No,,,,,,We have private and shared warehouse space available throughout the GTA for rent on short or longer terms (see list below). Please indicate which warehouses you are interested in and include your phone number as part of your message to us.,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/3-000-20-000-sqft-industrial-warehouse-space-for-rent-in-gta/1683436304
Private Office Spaces,650,"5060 Spectrum Way Mississauga, ON L4W 5N5, Canada, Toronto, ON, L4W 5N5",2024-02-24 00:50:34,,,,,,,,,,,Yes,,,,,,Flash Sale Alert: Unlock Your Dream Office at Unbeatable Prices!,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-spaces/1683364078
BATHURST/ST CLAIR ($850/MONTH) FEMALES ONLY,850,"York, ON M6C 3L7",2024-03-12 00:26:09,,,,,,,,,No,,Yes,,,,,,"Are you looking for a home close to a TTC bus stop?
Are you looking for student housing ?
Are you looking for a clean, quiet, and non-smoking home?",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bathurst-st-clair-850-month-females-only/1687961376
Wellesley Apartments - 2 Bdrm available at 100 Wellesley Street,3475,"100 Wellesley Street East, Toronto, ON, M4Y 1H5",2024-02-18 00:35:10,Apartment,2,1,"Hydro_No,Heat_No,Water_Yes",Not Included,0,1 Year,"May 1, 2024",Yes,760,Yes,Yes,Balcony,No,Laundry (In Building),"Gym, Pool, Elevator in Building",No Last Month's Rent Deposit,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-2-bdrm-available-at-100-wellesley-street/1682904719
"parking, don mills and lawrence - ID 3158",145,"150 The Donway West, Toronto, ON, M3C 2G2",2024-03-01 00:09:07,,,,,,,,,,,,,,,,,,,https://www.kijiji.ca/v-storage-parking/city-of-toronto/parking-don-mills-and-lawrence-id-3158/1683888309
BUY A HOME WITH ZERO OR 5% DOWN OR RENT TO OWN PROGRAM,2900,"Gillbank Cres, toronto, ON, M1E 4H8",2024-02-19 00:28:08,House,4,3,"Hydro_No,Heat_No,Water_Yes",Not Included,3+,Month-to-month,,Yes,Not Available,No,Yes,Yard,Yes,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,Program # 1 -- Buy House with Our Zero Down Program,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/buy-a-home-with-zero-or-5-down-or-rent-to-own-program/1648300405
Single room for renting,1750,"John St, Toronto, ON M5V 0S6",2024-03-12 02:25:26,,,,,,,,,,,No,,,,,,"A single room for renting in heart of downtown in Toronto. Amazing views from the big unit(1241SF). Specious room with big closet and floor to ceiling windows. Short term and long term are available from Apr. 01,2024. A gentleman is welcome. Please contact me at 6475181906 (Nicole)",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/single-room-for-renting/1687969892
5000 SF Industrial/Commercial Space Near 401/ McCowan for Lease,,"38 Metropolitan Road, Scarborough, ON",2024-03-12 02:21:19,,,,,,,,,,"5,001",Yes,,,,,,"Commercial /Industrial Warehouse Space Close to 401/McCowan for Lease:
*** 5001 SQFT
*** Nice Office + 2 Washroom
*** Big Overhead Driving Door
***Across from Starbucks, Winners, Fitness Club.
*** Near to a Busy Shopping Center,
*** Used to be a Wholesale/Retail Outlet
*** Ideal Location, 1 Minute from Highway 401
*** Available on Apr 1st 2024
Please contact 416-491-6666 for detail .",106 visits,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/5000-sf-industrial-commercial-space-near-401-mccowan-for-lease/1686861038
"Bright, Large Basement Apartment for Rent",1690,"9043 Yonge St, Richmond Hill, ON",2024-03-12 02:19:49,Basement,1,1,,Internet,1,1 Year,"April 1, 2024",No,700,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"New and highly convenient, bright basement apartment.
- Located near busy intersection of Yonge & Hwy 7.
- Steps to transportation hub for VIVA/YRT, GO Bus, GO Train, & transit to Finch station.
- Close walking distance to shopping centre's, library, schools as well as local restaurants and cafes.
- 1 bathroom, 1 kitchen, & 1 bathroom; nice, large living room space.
- Free wifi/internet service.
- Large windows with glass for lots of sunlight.
- Shared laundry & dryer in common area.
- Utilities are separate.
- Please call or text (416) 878-4061 to discuss.",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-large-basement-apartment-for-rent/1687969535
Private All-Inclusive Room On Subway Near Yorkdale,1600,"31 Tippett Rd, Toronto, ON M3H 0C8",2024-03-12 02:15:30,,,,,,,,,No,,Yes,,,,,,"Single Bedroom with bathroom available for rent. Part of a two bedroom condo.
Includes:
- Bell Fibe Unlimited High-Speed Internet
- Heat, Water & Hydro
- window blinds
- Single Bed
Parking also available
Just steps away from Ttc, Wilson Subway Station.
Easy Access To Hwy 401,
1 stop from Yorkdale Mall, ️
York Uni, Humber River Hospital & Grocery Stores, Shops, Restaurants, NoFrills, Costco And Parks.
UNIT FEATURES:
Laminate Flooring, high Smooth Ceilings, Integrated Dishwasher, Stainless steel Fridge & Stove/Oven/Range, Washer/Dryer, Under-mount Sink, Modern Pull-out Faucet, Kitchen Island & Microwave.
Floor to ceiling windows, European-style Balcony, Modern Custom Bathroom And Soaker Tub.",69 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-all-inclusive-room-on-subway-near-yorkdale/1686425070
Rent 2 Bedroom 1 Bathroom,2200,"Scarborough, ON M1M",2024-03-12 02:15:30,Basement,2,1,,Not Included,1,1 Year,"March 1, 2024",No,900,No,Yes,Not Included,Outdoors only,,,"Monthly Rent $2,200
2 Bedroom
1 Washroom
Kitchen, Dining & Living
Laundry in the Unit
Basement (Bungalow)",499 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/rent-2-bedroom-1-bathroom/1685427038
"Yonge/Finch - 1 Private Bedroom, Townhouse",1000,"Finch Avenue East, North York, ON",2024-03-12 02:15:29,,,,,,,,,,,Yes,,,,,,"All-inclusive, fully-furnished room at Yonge and Finch
The rent includes:",138 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/yonge-finch-1-private-bedroom-townhouse/1687245261
A Furnished Room for Rent close to Finch subway station,1100,"12 Laredo Court, North York, ON",2024-03-12 02:15:29,,,,,,,,,No,,Yes,,,,,,"A furnished private room in a beautiful neighbourhood, FEMALE ONLY - Rent to a STUDENT ONLY, very spacious bright room, one shared kitchen, one shared bathroom, walking distance to the Finch subway station. Utility and the internet are included - Available Now",268 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-furnished-room-for-rent-close-to-finch-subway-station/1685235002
room rental available near Seneca College (Girls only),750,"North York, ON M2J 4J4",2024-03-12 02:11:07,,,,,,,,,No,,Yes,,,,,,"My name is Matt and I am the owner of the townhouse (Girls only)
this is a townhouse and it's all furnished
wifi, laundry, kitchen ware all included
we are located at Leslie and Finch. Walking to Seneca College is only 10 minutes
please read following below
- if you have pet, car, motorcycle. Then I will not give you a rental. If you have any of these then go look for different place
- drug, marijuana is not permitted. If you got caught for doing this then you'll be resulted to kick out!
- no visitor is allow unless you are moving in or out
- for your stays and comfort, I do all the housework such as cleaning, throwing garbage, managing, and all the source. So you'll be happy to living
- also if you are coming to Toronto for job purposes then I wouldn't have any problem
* this room is currently vacant, so if you want to move in right away, then you are more than welcome!
Please contact if you are interested",9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-rental-available-near-seneca-college-girls-only/1687969029
Luxury 1 BDRM condo downtown core financial district,,"Temperance Street, Toronto, ON",2024-03-12 02:09:45,Condo,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 11, 2024",Limited,500,Yes,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Elevator in Building",Luxury suite condo on 17th floor in the heart of business district Toronto by Eaton center & Trump Hotel,5 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxury-1-bdrm-condo-downtown-core-financial-district/1687968951
1bd condo in downtown Toronto,2700,"470 Front St W, Toronto, ON M5V 0V6",2024-03-12 02:07:35,,,,,,,,,Yes,,Yes,,,,,,"1 Bed 1 Bath - Apartment fully furnished
470 Front St W, Toronto, ON M5V, Canada
Looking to sublease a brand new condo at THE WELL. Dm if interested
Available 1april/1 may.
Fully furnished
WiFi included
Utilities additional
Negotiable",11 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/1bd-condo-in-downtown-toronto/1687968782
Furnished 2 Bed Room basement rent close to centennial progress.,2200,"Scarborough, ON M1G 2V7",2024-03-12 02:07:02,,,,,,,,,No,,Yes,,,,,,Furnished 2 Bed Room basement rent close to centennial progress.,45 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-2-bed-room-basement-rent-close-to-centennial-progress/1680335962
Furnished 2Bedroom basement rent at centennial progress.,2200,"Scarborough, ON M1G 2V7",2024-03-12 02:04:09,,,,,,,,,No,,Yes,,,,,,Furnished 2Bedroom basement rent at centennial progress.,3 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-2bedroom-basement-rent-at-centennial-progress/1687968569
Furnished Bedrooms Near Yonge /Sheppard Station Start April 1,850,"North York, ON M2N 1L3",2024-03-12 02:04:05,,,,,,,,,No,,Yes,,,,,,Please Call me at 647-280-2886 if interested.,15 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-bedrooms-near-yonge-sheppard-station-start-april-1/1687968562
Downtown Toronto - 1 Bed with 1 Bath Condo for Rent - Female,1750,"Etobicoke, ON M8V",2024-03-12 02:03:55,Condo,2,2,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"March 15, 2024",No,699,Yes,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Female roommate looking for another female roommate in a 2 Bedroom, 2 Bathroom condo by King St and Blue Jays Way.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-1-bed-with-1-bath-condo-for-rent-female/1687968552
Female roommate for a 2bed 2bath condo,1350,"Yonge St, Toronto, M2N 0G3",2024-03-12 01:58:52,,,,,,,,,,,Yes,,,,,,"(Bayview subway station)
Female Roommate
Bedroom with private bath
It's a 2bed 2bath condo. Condo is shared between 2 Female only.
Utilities and internet included",7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/female-roommate-for-a-2bed-2bath-condo/1687968229
LOOKING FOR ROOM MATE - BATHURST/SHEPPARD,,"North York, ON M2N",2024-03-12 01:58:04,,,,,,,,,No,,Yes,,,,,,Roommate Wanted,9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-room-mate-bathurst-sheppard/1687968176
"Homestay near Bay and College, priced right",,"Toronto, ON M5B 2H3",2024-03-12 01:57:48,,,,,,,,,,,Yes,,,,,,"....YOU WILL LOVE THIS PLACE, IT’S LOCATION AND THE PRICE....Are you a student who needs a nice shared large room in a downtown high-rise with 3 good meals a day for an unbelievably LOW PRICE? It is always very quiet here with 3 non-smokers (2 students of the same gender and me, a male senior) we keep the place clean and shower and use deodorant daily. The room you sleep in at night has 2 single beds. It is the living room, dining room, study area with 3 desks, and kitchen during the day. It is over 600 square feet. I sleep in the master bedroom which is 160 square feet. Please respond with your WhatsApp number so that I can call and show you the space as a first step. The subway is steps away.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/homestay-near-bay-and-college-priced-right/1687968156
Furnished  Rooms ( Hwy 404/401)Sheppard/Pharmacy/Finch Apr 1,775,"Scarborough, ON M1W 1K5",2024-03-12 01:56:33,,,,,,,,,No,,Yes,,,,,,"Near Lambton College, Seneca College, Hanson College and one bus to go Centennial College.
Please Call me at 647-280-2886 if interested.
Private Bedroom for Rent to Student/Young Worker prefer single Male
Furnished bedrooms, near Hwy 404 / 401. You have to share a kitchen and a bathroom.
with no parking request $795/month. And $775 / month and $890 / Month No smoking inside, no pets, no party.
Rent include Internet, hydro, heat, Water, Laundry, NO extra hidden fee
Please contact: 647-280-2886 if interested, thanks
Start April 1",18 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-rooms-hwy-404-401-sheppard-pharmacy-finch-apr-1/1687968085
1 Bed Apt for  Hwy 404/401(Sheppard/Pharmacy/Finch) Apil 1,1450,"Scarborough, ON M1W 1K5",2024-03-12 01:54:24,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,Month-to-month,"April 1, 2024",No,350,Yes,Yes,Not Included,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Furnished one bedroom apartment in Detached House Main Floor including one bedroom, kitchen, washroom and laundry( all private ) , Great location, nice neighbor.
Rent include hydro, WiFi, heat, water. NO extra hidden fee.
Single , ask $1450/month for rent Two person $1750/month No smoking inside, no pets, no party. Start April 1
If interested, please contact me at 647-280-2886.",28 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-apt-for-hwy-404-401-sheppard-pharmacy-finch-apil-1/1687967939
Underground parking close to subway,,"Four Winds Dr, Toronto, ON M3J 1K9",2024-03-12 01:53:55,,,,,,,,,,,,,,,,,"Underground parking with card entrance is available for rent. It is close to Finch west subway station. Also, close to York University. Entrance of Four Winds drive. Main intersection is Keele and Finch. It is available immediately.",2 visits,https://www.kijiji.ca/v-storage-parking/city-of-toronto/underground-parking-close-to-subway/1687967907
