Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Spacious2Bed2BathTridelCondow/Parking&Locker+ClearView,2875,"Wynford Drive, North York, ON",2024-03-12 04:46:35,Condo,2,2,,Not Included,1,1 Year,"March 12, 2024",No,850,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Tridel 2 bed 2 full bath condo
Large Functional layout
Private unobstructed
Views of Don Valley
Eglinton & Wynford
Gym & Fitness facilities
Party room and entertainment amenities
Outdoor Patio and BBQs.
2 Bed + 2 Full Baths
Steps to the Don Valley trails, golf course and bike paths; Aga Khan Park & Museum; Wynford Stop Eglinton Line (opening soon); Groceries, Shops at Don Mills, Ontario Science Centre, downtown express Bus, Restaurants, Shops ...
Easy access to Don Valley Parkway, 15 minutes to downtown, richmond hill, markham or Scarborough",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious2bed2bathtridelcondow-parking-locker-clearview/1687976220
1 Bedroom for Rent in a 3-Bedroom Condo Unit,900,"North York, ON M3J",2024-03-12 04:45:53,Condo,3,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,Month-to-month,"April 1, 2024",No,"1,100",No,Yes,Not Included,No,Laundry (In Unit),"Gym, Pool, 24 Hour Security, Elevator in Building","To ensure no one's time is wasted, please take note of the following information regarding this unit:
• No smoking or drugs are permitted in the house.
• No pets in the house.
• No shared rooms/couples.
• All utilities and unlimited Wi-Fi internet costs are included in the rent; there are no extra charges.
• Move-in date is April 1, 2024.
• Parking is available for an extra $100 per month.",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-in-a-3-bedroom-condo-unit/1687976192
Rent for One BedRoom Townhome condo at Keele and Eglinton,2100,"140 Canon Jackson Drive, York, ON",2024-03-12 04:45:29,Condo,1,1,,Not Included,1,1 Year,"April 1, 2024",No,650,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",Storage Space,"A Large 1Bedroom & 1 Bathroom Townhouse Located In The Heart Of Toronto; In The Keele & Eglinton Area That Is An 8 Minute Walk From The Keelesdale LRT (Light Rail Transit). TTC Bus Stop Right At Doorstep & Close To Every Urban Amenity. Minutes Away From Subway Station, Yorkdale Shopping Mall, HWY 400 & 401 And Many Other Offices And Parks.","1,075 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/rent-for-one-bedroom-townhome-condo-at-keele-and-eglinton/1684566057
House for rent,2900,"William Honey Crescent, Markham, ON L3S",2024-03-12 04:39:12,House,3,3,,Not Included,2,1 Year,"April 1, 2024",No,"1,500",Yes,Yes,Yard,Outdoors only,,,"Bright 3 Bedroom & 3 Bathroom, 2 Storey Home. Main Floor & Second Floor For Lease Only. Open Concept Living/Dining Area. Huge Master W/ En Suite Bath & His&Her Closets. Beautiful Backyard. Walking Distance To Armadale P.S. & Child Care Centre. Mins To Middlefield S.S., Library, Public Transit, Place Of Worship, Milliken Park & Much More! All Window Coverings, Fridge, Stove, Shared Laundry With Basement Tenant(separate entrance). Upstairs Tenants Pay 70% Share Of Utilities.",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/house-for-rent/1687976005
Deluxe Bedroom in Downtown Location Available Now!,1280,"Huntley Street, Toronto, ON",2024-03-12 04:34:23,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Deluxe Bedroom in Downtown Location Available Now! ✨,10 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/deluxe-bedroom-in-downtown-location-available-now/1687975857
Shared Room available for Rent in Scarborough,,"Scarborough, ON M1W",2024-03-12 04:32:44,Townhouse,4 + Den,2.5,,Internet,0,Month-to-month,"April 1, 2024",Limited,1,Yes,Yes,Yard,No,Laundry (In Unit),,"Hello all,
Looking for a guy for Sharing room in a Townhouse with friendly people from April 1st 2024.
తెలుగు Telugu",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/shared-room-available-for-rent-in-scarborough/1687975805
Flex Room in Midtown Location Available Now!,1080,"Davisville Avenue, North York, ON",2024-03-12 04:30:25,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Flex Room in Midtown Location Available Now! ✨,9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/flex-room-in-midtown-location-available-now/1687975724
Downtown Toronto one bedroom Available  April 1st / immediately,980,"Palmerston Ave, 多伦多, M6J 2J2",2024-03-12 04:28:54,,,,,,,,,No,,Yes,,,,,,"Bathurst Dundas one bedroom Available immediately or April 1st
one bedroom on second floor shared bathroom&kitchen,$980, include all Utilities + Internet+ central AC and heat
* 1 min walk to Dundas street car 24/7(505 line),2min walk to bathurst street car 24/7(511 line)",8 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/downtown-toronto-one-bedroom-available-april-1st-immediately/1687975660
Master Room with Private washroom in  Midtown Location Available,1580,"Edith Drive, Toronto, ON",2024-03-12 04:25:26,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Master Room with Private washroom in Midtown Location Available Now! ✨,4 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-room-with-private-washroom-in-midtown-location-available/1687975552
Flex Room in Prime Downtown Location Available Now!,1100,"Carlton Street, Toronto, ON",2024-03-12 04:20:03,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Flex Room in Prime Downtown Location Available Now! ✨,6 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/flex-room-in-prime-downtown-location-available-now/1687975361
"Spring is Coming, Planning on Moving? Furnished Room for MALE",1250,"North York, ON M6A 1T1",2024-03-12 04:19:36,,,,,,,,,No,,Yes,,,,,,⭐MONTHLY / no lease – Working Professional MALE ONLY,,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/spring-is-coming-planning-on-moving-furnished-room-for-male/1687975351
"Clean, light, quiet Furnished Room MALE ONLY - NORTH YORK",1250,"North York, ON M6A 1T1",2024-03-12 04:18:06,,,,,,,,,No,,Yes,,,,,,⭐MONTHLY / no lease – Working Professional MALE ONLY,,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/clean-light-quiet-furnished-room-male-only-north-york/1687975300
900 CAD - Single Room - Student Preferred (Condo),900,"Etobicoke, ON M9B 6C4",2024-03-12 04:17:49,Condo,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,Month-to-month,"May 15, 2024",No,145,Yes,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, 24 Hour Security, Elevator in Building","Discover your next home in the heart of Etobicoke's most convenient neighborhood! This inviting condo offers the perfect blend of accessibility and amenities, ideal for students and young professionals alike. Positioned just a 3-minute walk from Loblaws for all your grocery needs and a 5-minute stroll to the Toronto Public Library, this location is unbeatable for those seeking convenience and community.",13 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/900-cad-single-room-student-preferred-condo/1687975293
Luxurious condo for rent at 955 Bay Street,2250,"Bay Street, Toronto, ON",2024-03-12 04:17:29,Condo,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,"May 1, 2024",No,339,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building",Name: Britt Condo,8 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxurious-condo-for-rent-at-955-bay-street/1687975281
Spacious 2+1 Bedroom Apartment for rent in Downtown Toronto,3500,"55 Mercer St, Toronto, ON M5V 3W2",2024-03-12 04:13:39,Condo,2 + Den,2,,Not Included,0,1 Year,"April 1, 2024",No,700,No,Yes,Not Included,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","**Seeking Two Female Roommates for Prime Downtown Toronto Apartment**
I am currently looking for two female working professionals or students to share a spacious 2-bedroom +1 Den apartment in the heart of Toronto's Entertainment and Theatre District, located at the intersection of Blue Jays Way & King St W. This is a unique opportunity for those who appreciate modern living in a vibrant urban setting.
**Apartment Features:**
- **Location:** Situated on the 6th floor, the apartment offers beautiful south-facing views and is flooded with natural light.
- **Bedrooms:** Two well-appointed bedrooms, each offering privacy and comfort.
- **Bathrooms:** Includes two full bathrooms, ensuring convenience for all residents.
- **Kitchen & Living Area:** An open-concept layout with a fully equipped kitchen featuring high-end built-in appliances, leading into a spacious living and dining area.
- **Amenities:** The building boasts a range of luxury amenities including 24/7 concierge, a fully equipped gym, co-working space, outdoor BBQ area, and more.
**Neighborhood Highlights:**
- **Convenience:** Steps away from public transportation, Rogers Centre, Scotiabank Arena, various theatres, banks, shops, bars, and restaurants.
- **Lifestyle:** Located in a lively area known for its entertainment options, offering easy access to Toronto's best cultural and social scenes.
**Lease Details:**
- **Availability:** Immediate, with flexible viewing times available upon request. 1 year lease agreement at least.
- **Requirements:** Ideal candidates will be non-smokers and ready to provide documentation such as a credit report, employment verification, and references. A $300 key deposit is required upon signing.
**Interested?**
For more information or to arrange a viewing, please contact Rida at rida.zahraslam@gmail.com. Alternatively, feel free to direct message your phone number, and I will reach out to you.
This is a fantastic opportunity for those looking to enjoy downtown Toronto living with all the comforts and conveniences of a modern home. Looking forward to finding the perfect roommates to share this amazing space with!",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-2-1-bedroom-apartment-for-rent-in-downtown-toronto/1687975142
Private room in basement for rent,650,"1442 Danforth Rd, Scarborough, ON M1J 1G9",2024-03-12 04:13:15,,,,,,,,,No,,No,,,,,,"Private single bedroom in basement for rent,sharing kitchen and bathroom, it will be available from first of April,looking for nitand clean,communication respect with love to other tenants,quite a Male professional working people or international students it is located near the Scarborough general hospital steps way from TTC Bus stop, 10 minutes from STC by # 16 bus 10 minutes from warden subway station and Kennedy subway station, near public library, grocery store with many others there’s No alcohol,no smoking in the property area. If you’re interested please contact 16478782797.",26 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-in-basement-for-rent/1687975129
ROOM FOR RENT (MASTER BEDROOM WITH PRIVATE WASHROOM 2ND FLOOR ),,"Scarborough, ON M1P 1S4",2024-03-12 04:12:00,,,,,,,,,No,,No,,,,,,Description,12 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-master-bedroom-with-private-washroom-2nd-floor/1687974949
Scarborough 2+den condo for rent,2900,"275 Village Green Square, Scarborough, ON",2024-03-12 04:11:58,Condo,2 + Den,2,"Hydro_No,Heat_No,Water_Yes",Internet,1,1 Year,"April 1, 2024",No,827,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Beautiful Newer Luxury Tridel Condo! Large Corner Unit W 2 Beds And 2 Full Baths Plus Den! Spacious And Open Concept Layout With Modern Design. Large Den And Laminate Floors Throughout. Mins To 401&404, Close To Malls, Public Transit, Banks And Shopping. All Stainless Steel Kitchen Appliances - Oven, Fridge , Cook Top And Dishwasher. Washer / Dryer, All Electric Light Fixtures, 1 Underground Parking Space with EV charging plug available And Locker Included. The Abundance Of Amenities Includes Fitness Room, Party Room, Theatre, And Guest Suites. It Also Features A 24-Hour Concierge And Security For Your Peace Of Mind.",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-2-den-condo-for-rent/1687975082
Basement Room for Rent,,"Scarborough, ON M1B 6J4",2024-03-12 04:10:33,,,,,,,,,,,Yes,,,,,,"- Available April 1st.
- $700 for room or $400 per person for 2 people
- All utilities included: Wifi, Laundry, Water, Hydro.
- Close to grocery stores.
- 2 minute walk to TTC bus stops offering 24/7 service.
- Please call: 647-637-2312",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-for-rent/1687975022
Furnished 1 Bedroom Basement Suite,1799,"Scarborough, ON M1P 1X2",2024-03-12 04:06:58,Basement,1,1,,Internet,1,1 Year,"April 1, 2024",No,650,Yes,Yes,Not Included,No,Laundry (In Building),,Ideal for 1 to 2 people. Looking for a Student or Working Professional for a Brand New 1 Bedroom Furnished Basement Suite,7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-1-bedroom-basement-suite/1687974864
Basement room for male student by Indian family,800,"Scarborough, ON M1H 1S2",2024-03-12 04:06:57,,,,,,,,,No,,Yes,,,,,,"Near Centennial college
TTC accessible
Wifi available
Utilities included in the rent
Shared kitchen and washrooms",7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-for-male-student-by-indian-family/1687974863
