Title,Author,Narrator,Runtime,Release Date,Language,Average Rating,Total rating
"The Year in Tech, 2024",Written by: Harvard Business Review,"Janet Metzger, Paul Boehmer",3 hrs and 41 mins,2023-12-12,English,,
Against Technoableism,Written by: Ashley Shew,Maria Pendolino,4 hrs and 3 mins,2023-12-26,English,,
Code with Confidence: Python for Beginners,Written by: Albert Rutherford,Russell Newton,2 hrs and 40 mins,2024-01-12,English,,
A Complete Guide to AI for Business,Written by: Liam Caton,Jimmy Trisler,3 hrs and 52 mins,2024-01-19,English,,
"AI Unleashed Bundle, 2 in 1 Bundle","Written by: Eric Shaw, Dan Weisberg",Kody Marr,1 hr and 6 mins,2024-01-12,English,,
Applying Artificial Intelligence to Close the Accessibility Gap: A Practical Handbook for Educators & Students,Written by: Joe Houghton,Lisa Chabot,11 hrs and 54 mins,2024-01-31,English,,
The eLearning & Instructional Design Roadmap,Written by: Aubrey Cook,Kyle Ouellette,4 hrs and 37 mins,2024-01-19,English,,
Digital Marketing for Beginners 2024,Written by: Maxwell Cyberstein,Jason Belvill,4 hrs and 23 mins,2023-12-16,English,,
Tough and Competent,Written by: Eugene F. Kranz,Danny Campbell,9 hrs and 36 mins,2024-01-30,English,,
Hacking with Kali Linux,Written by: Ryan Campbell,Scott Mandeville,3 hrs and 12 mins,2023-12-03,English,,
SQL: 3 Books in 1,Written by: Ryan Campbell,Robert Strong,7 hrs and 40 mins,2024-01-24,English,,
"The Art of Agile Development, 2nd Edition","Written by: James Shore, Martin Fowler - foreword, Diana Larsen - contributor, Gitte Klitgaard - contributor, Shane Warden - contributor",Mike Lenz,23 hrs and 2 mins,2023-11-28,English,5.0,1.0
"CompTIA CySA+ Study Guide: Exam CS0-003, 3rd Edition","Written by: Mike Chapple, David Seidl",Ray Greenley,17 hrs and 20 mins,2024-01-16,English,,
You Should Write a Book,"Written by: Katel LeDu, Lisa Maria Marquis",Katel LeDû,3 hrs and 43 mins,2024-01-16,English,,
AI as Your Teammate,Written by: Evan Ryan,Evan Ryan,2 hrs and 2 mins,2023-12-13,English,,
Moral AI,"Written by: Jana Schaich Borg, Walter Sinnott-Armstrong, Vincent Conitzer",Rory Alexander,7 hrs and 42 mins,2024-02-08,English,,
Simulation Theory for Beginners,Written by: House of Abundance Publications,Jesse Burke,1 hr and 52 mins,2023-12-02,English,,
How to Make Money with AI & Chat GPT,Written by: Tim Hansel,Helpful Matthew,2 hrs and 16 mins,2023-12-12,English,,
ChatGPT Minion to Millionaire,Written by: Bruce Brown,"Xander Wilde, David Angelo",5 hrs and 16 mins,2024-01-03,English,,
NIST Cyber Security Framework,Written by: Bruce Brown,Kim Pepper,11 hrs and 43 mins,2023-12-03,English,,
AI and the Future of Affiliate Marketing,Written by: Nicholas Penn,Brian Thackeray,3 hrs,2024-01-03,English,,
AI and the Future of Education,Written by: Priten Shah,Shawn K. Jain,5 hrs and 31 mins,2024-01-16,English,,
CompTIA CySA+ Certification,Written by: Jake T Mills,Tom Brooks,5 hrs and 1 min,2024-01-16,English,,
YouTube Influencer,Written by: Change Your Life Guru,Nick Matthews,5 hrs and 21 mins,2023-12-03,English,,
ITF+ CompTIA IT Fundamentals,Written by: Jake T Mills,Tom Brooks,5 hrs and 5 mins,2024-01-30,English,,
How to Create and Grow a Successful YouTube Channel 2024,Written by: Karen Noil,Rory Young,2 hrs and 43 mins,2023-12-15,English,,
C# Coding Mastery,Written by: Ryan Campbell,Alejandro Enriquez,3 hrs and 6 mins,2023-12-03,English,,
Inteligencia Artificial [Artificial Intelligence],Written by: Khen R. Sevilla,Luis Aponte,1 hr and 25 mins,2023-12-08,Spanish,,
Libérer la Puissance Commerciale de l'IA avec une Efficacité de Niveau Supérieur [Unlocking the Business Power of AI with Next-Level Efficiency],Written by: Devon Gates,Eric Thibeault,5 hrs and 2 mins,2023-12-20,French,,
Jumpstart Your Machine Learning Journey,Written by: Smart Learning Solutions,Jennifer Tzoumas,3 hrs and 26 mins,2023-12-03,English,,
Souveraineté numérique [Digital Sovereignty],Written by: Sylvie Bédard,Sylvie Bédard,5 hrs and 45 mins,2023-12-07,French,,
OSCP Offensive Security Certified Professional,Written by: Jake T Mills,Tom Brooks,5 hrs and 8 mins,2023-12-03,English,,
"Dollars, Gold, and Bitcoin",Written by: John S. Pennington Jr.,John S. Pennington Jr.,6 hrs and 50 mins,2023-12-05,English,,
CEH Certified Ethical Hacker Certification,Written by: Jake T. Mills,Tom Brooks,5 hrs and 1 min,2023-12-13,English,,
Content Creation & Marketing Essentials: 4 in 1,"Written by: Blake Preston, Brian Scott Fitzgerald",Tom Brooks,18 hrs and 45 mins,2024-01-24,English,,
How to Get Rich with AI,Written by: Wendy Robbins,Wendy Robbins,2 hrs and 5 mins,2023-11-20,English,,
ChatGPT Prompt Engineer,Written by: Convocourses,Xander Wilde,2 hrs and 11 mins,2023-12-08,English,,
CompTIA PenTest+ Certification,Written by: Jake T Mills,Tom Brooks,5 hrs and 8 mins,2023-12-07,English,,
ChatGPT Bible 6 Books in 1,Written by: James Wallace,Kevin Howard,7 hrs and 14 mins,2024-01-25,English,,
"TikTok & Twitch for Beginners: A Complete Guide for Making Money with Shorts Videos, Master Influencer Marketing, and Unlock Millions of Views for Your Business","Written by: Blake Preston, Brian Scott Fitzgerald",Tom Brooks,5 hrs and 46 mins,2023-11-20,English,,
AI Unveiled,"Written by: Zoi, Dani",Benjamin E Norsworthy,1 hr and 3 mins,2023-12-16,English,,
AI at the Edge,"Written by: Daniel Situnayake, Jenny Plunkett",Suzie Althens,17 hrs and 17 mins,2023-11-28,English,,
The Pricing Roadmap,Written by: Ulrik Lehrskov-Schmidt,Ulrik Lehrskov-Schmidt,6 hrs and 29 mins,2024-02-08,English,,
The DevSecOps Playbook,Written by: Sean D. Mack,William Sarris,7 hrs and 9 mins,2023-11-21,English,,
Social Media Marketing & SEO Mastery,"Written by: Blake Preston, Brian Scott Fitzgerald",Tom Brooks,29 hrs and 18 mins,2023-12-15,English,,
Artificial Intelligence Fundamentals,Written by: Eric Shaw,Kody Marr,29 mins,2023-12-28,English,,
A Practical Guide to Project Management Principles,Written by: Ethan Masters,Angela Ohlfest,43 mins,2023-12-16,English,,
半導体戦争世界最重要テクノロジーをめぐる国家間の攻防,"Written by: クリス・ミラー, 千葉 敏生(翻訳)",井上 智博,15 hrs and 34 mins,2023-12-22,Japanese,,
CompTIA CASP+ Certification,Written by: Jake T Mills,Tom Brooks,5 hrs and 17 mins,2024-01-10,English,,
AI Made Simple,Written by: Joe Joe Reed,John Haskins,2 hrs and 31 mins,2024-01-19,English,,
33 Ways Not to Screw Up Being a Woman in Tech,Written by: Marcia Dempster,Marcia Dempster,4 hrs and 53 mins,2024-02-09,English,,
Learn Computer Science on the Go,"Written by: LearnOnTheGo.io, Austin Mulka, Alex Kropf, Mammoth Interactive",JohnWayne Holm,10 hrs and 45 mins,2024-01-29,English,,
The Agile Brand Guide: Generative AI,Written by: Greg Kihlstrom,Kenneth Montgomery,3 hrs and 16 mins,2023-12-05,English,,
Teaching with AI,Written by: ModernMind Publications,Amy Pandit,3 hrs and 27 mins,2024-02-09,English,,
Embracing ChatGPT for Business Success,Written by: DBR Publishing,Emily Thiel,3 hrs and 49 mins,2023-12-03,English,,
The AI Success Route,Written by: R.W. Walker,ChasMandala,6 hrs and 30 mins,2023-12-14,English,,
The Game Writing Guide,Written by: Anna Megill,Andrea Emmes,10 hrs and 52 mins,2023-12-12,English,,
The ChatGPT Money Machine,Written by: Manon Huang,Tonya Rogers,1 hr and 32 mins,2023-12-13,English,,
TOR and Deep Web,Written by: Ryan Knight,BritVox,1 hr and 58 mins,2024-01-19,English,,
TOR Blueprint,Written by: Ryan Knight,James Raincock,1 hr and 23 mins,2024-01-11,English,,
"Your First 100,000 Followers",Written by: Spencer Claeys,Spencer Claeys,1 hr and 46 mins,2024-01-04,English,,
Creative Code,Written by: Tamara King,Samuel McDowell,2 hrs and 29 mins,2023-12-29,English,,
Darknet,Written by: Ryan Knight,Jim Cassidy,1 hr and 21 mins,2024-01-12,English,,
Artificial Intelligence Revolution,Written by: Dan Weisberg,Kody Marr,34 mins,2023-12-28,English,,
Unsupervised,"Written by: Daniel Doll-Steinberg, Staurt Leaf",Michael Langan,11 hrs and 53 mins,2023-12-05,English,,
Engaging with Artificial Intelligence (AI),Written by: Cybersecurity and Infrastructure Security Agency,Tom Brooks,1 hr and 6 mins,2024-02-05,English,,
Prompt Engineering and ChatGPT,Written by: Russel Grant,Jeremy Diener,3 hrs and 48 mins,2024-01-12,English,,
ChatGPT,Written by: Malcolm Oppenheimer,Kyle Nelson,5 hrs and 41 mins,2023-12-27,English,,
Security Chaos Engineering,"Written by: Kelly Shortridge, Aaron Rinehart - contributor",April Doty,18 hrs and 36 mins,2023-11-28,English,,
ChatGPT Made Simple,Written by: D. Nardo Publications,Scott Gillis,3 hrs and 16 mins,2023-12-04,English,,
The Art of Cybersecurity Self-Defense,Written by: Shawni Marie,Melissa-Marie Shriner,3 hrs and 26 mins,2024-01-29,English,,
The AI for Educators Blueprint,"Written by: Noah Johnson EdD, Vivian Mitchell MPH",Neil Scheibelhut,4 hrs and 30 mins,2023-11-20,English,,
The Forgotten Art of Being Ordinary,"Written by: CJ Casciotta, Andrew McLuhan - foreword",Stephen R. Thorne,5 hrs and 7 mins,2023-11-28,English,,
More Than a Glitch,Written by: Meredith Broussard,L. Malaika Cooper,7 hrs and 38 mins,2024-01-09,English,,
Succeeding with OKRs in Agile,Written by: Allan Kelly,Stacy Gonzalez,7 hrs and 9 mins,2023-12-07,English,,
The Complete Art of World Building Podcast Transcripts,Written by: Randy Ellefson,Randy Ellefson,19 hrs and 19 mins,2024-01-16,English,,
The Prospect of Thought-Driven AI Databases,Written by: Keiser McClain,Ronnie Tombstone,54 mins,2024-01-19,English,,
How to Make Things Faster,Written by: Cary Millsap,Jonathan Yen,6 hrs and 38 mins,2024-01-30,English,,
Virtual Natives,"Written by: Catherine D. Henry, Leslie Shannon",Leanne Woodward,7 hrs and 36 mins,2024-01-30,English,,
Artificial Intelligence & Machine Learning,Written by: Thomas McMurray,Kat Metcalfe,4 hrs and 10 mins,2023-12-28,English,,
Discover Together,Written by: Ben Chun,Victoria Cela Goudie,1 hr and 20 mins,2024-01-12,English,,
Resilient Management,Written by: Lara Hogan,Lara Hogan,3 hrs and 3 mins,2024-01-12,English,,
Mastering Blockchain,Written by: Hadi Morrow,Winston Strobridge,11 hrs and 28 mins,2024-01-06,English,,
The Bleeding Edge,Written by: Bill Raduchel,Alex Freeman,5 hrs and 55 mins,2023-12-05,English,,
Google Certified Professional Cloud Architect,Written by: Jamie Murphy,Tom Brooks,5 hrs and 2 mins,2023-11-21,English,,
Artificial Intelligence for Business,Written by: Nicholas Penn,Palachi,3 hrs and 39 mins,2023-12-05,English,,
"NFT, Metaverse & Cryptocurrency Trading",Written by: James Holm,Darren Stephen Ferguson,30 hrs and 49 mins,2023-11-21,English,,
Marketing de IA 2023 [AI Marketing 2023],Written by: Nicholas Penn,Kike Posada,4 hrs and 10 mins,2023-12-04,Spanish,,
The Intelligent Future,Written by: Pauline Bolumbu,William Schilling,1 hr and 18 mins,2023-12-13,English,,
Homo Deus (Marathi Edition),Written by: Yuval Noah Harari,Milind Phatak,17 hrs and 29 mins,2023-12-13,Hindi,,
97 Things Every Data Engineer Should Know,Written by: Tobias Macey - editor,Emily Beresford,5 hrs and 41 mins,2023-11-28,English,,
Low Tech Life,Written by: Jose Briones,Jose Briones,3 hrs and 42 mins,2024-01-10,English,,
"Zoom Unofficial Cheats, Hacks, Hints, Tips, and Tricks Guide",Written by: Trevor Clinger,Sarah Andrews,16 mins,2024-01-11,English,,
Game Over (German Edition),Written by: Sebastian Jäger,Franziska Lips,4 hrs,2024-02-12,German,,
"Heartificial Empathy, 2nd Edition",Written by: Minter Dial,"Minter Dial, Alexandra Dial",5 hrs and 14 mins,2024-02-12,English,,
CompTIA Linux+ (Plus) Certification: The Ultimate Study Guide to Ace the Exam,Written by: Jake T Mills,Tom Brooks,5 hrs and 31 mins,2024-02-09,English,,
SQL Data Analytics Made Easy,Written by: L.D. Knowings,Barry Fike,4 hrs and 24 mins,2024-02-09,English,,
Ошибки разработчиков видеоигр. От идеи до провала,Written by: Слава Грис,Слава Грис,9 hrs and 3 mins,2024-02-08,Russian,,
ChatGPT: Boss Blueprint,Written by: LaToya Kelly,Lea Greene,59 mins,2023-12-21,English,,
Monetizing AI,Written by: Vivek Dixit,Stephanie Boyette,4 hrs and 1 min,2023-12-09,English,,
Why you must start Digital Detox Now !,Written by: Nora Brent,Steven Gillen,3 hrs and 51 mins,2023-12-03,English,,
2 libros en 1 Inteligencia Artificial Para Hacer Dinero Online [2 Books in 1 Artificial Intelligence to Make Money Online],Written by: Antonio Robinhood,Melina Colmenares,3 hrs and 19 mins,2024-02-08,Spanish,,
Invisible Online,Written by: Ryan Knight,James Raincock,1 hr and 35 mins,2024-02-07,English,,
The Non-Fiction Nexus,Written by: B Alan Bourgeois,Jeffrey Schmidt,1 hr and 17 mins,2024-02-05,English,,
Ultimate 2 in 1 Set for Success in Entrepreneurial Finances and ChatGPT,Written by: DBR Publishing,"Jamal West, Emily Thiel",7 hrs and 6 mins,2023-12-16,English,,
Literary Theory for Robots,Written by: Dennis Yi Tenen,Rebecca Lam,4 hrs and 51 mins,2024-02-06,English,,
2024-2025 FAA Drone License Exam Guide,Written by: Darren Ramsay,Rodney Tompkins,3 hrs and 42 mins,2024-02-02,English,,
The Tech Nerds' Guide to Career Success,Written by: Dan Adams,Karl P. Sjoberg,2 hrs and 57 mins,2024-01-31,English,,
Tsunami Technologique [Technological Tsunami],Written by: Nicholas Penn,Eric Thibeault,5 hrs and 17 mins,2024-01-29,French,,
ChatGPT Ingresos Del Segundo Trabajo [ChatGPT Second Job Income],Written by: Warren Fletcher,Dian Velázquez,4 hrs and 17 mins,2024-01-29,Spanish,,
Makers,Written by: Sani Abdul-Jabbar,Michele Curran,3 hrs and 28 mins,2024-01-26,English,,
Unleashing AI Business Power with Next-Level Efficiency,Written by: Devon Gates,Robert Grothe,5 hrs and 43 mins,2024-01-26,English,,
Cyber Wargaming,"Written by: Frank L. Smith III - Editor, Nina A. Kollars - Editor, Benjamin H. Schechter - Editor",Kyle Tait,9 hrs and 9 mins,2024-02-13,English,,
Alles überall auf einmal,"Written by: Miriam Meckel, Léa Steinacker",Sandra Voss,12 hrs and 24 mins,2024-02-13,German,,
"You Have a Very Soft Voice, Susan","Written by: Susan Fensten, Brian Whitney",Linda Jones,12 hrs and 41 mins,2024-02-13,English,,
"Crazy Phone Cheats, Hacks, Hints, Tips, and Tricks That They Don’t Want You to Know",Written by: Trevor Clinger,Kate Marcin,20 mins,2024-01-24,English,,
Convertir ChatGPT en un cajero automático [Turn ChatGPT into an ATM],Written by: Eric Mallon,Nadia Molina,2 hrs and 10 mins,2024-01-22,Spanish,,
Tech Tsunami,Written by: Nicholas Penn,David Ellsworth,6 hrs and 18 mins,2024-01-23,English,,
Microsoft Certified Azure Administrator,Written by: A.E. Alvo,Ryan Churchill,20 hrs and 9 mins,2024-01-22,English,,
Phishing Dark Waters,"Written by: Christopher Hadnagy, Michele Fincher, Robin Dreeke - foreword","Christopher Hadnagy, Michele Fincher",5 hrs and 25 mins,2023-11-21,English,,
Release Management in the Cloud Era,Written by: Bruno Dossantos,Susanna Burney,1 hr and 27 mins,2024-01-18,English,,
AI Equity,Written by: Vivek Dixit,Stephanie Boyette,2 hrs and 23 mins,2024-01-18,English,,
101 Amazing Sega Master System Facts,Written by: Jimmy Russell,Jason Zenobia,27 mins,2024-01-16,English,,
Artificial Ascendancy,Written by: Allen deBraunche,Gary Middleton,1 hr and 51 mins,2024-01-12,English,,
Transforming Healthcare,Written by: SB Wade,Andrew Rowe,3 hrs and 34 mins,2024-01-12,English,,
Chart Spark,Written by: Alli Torban,Alli Torban,2 hrs and 19 mins,2024-01-10,English,,
Tips: Recommendations for Software Bill of Materials (SBOM) Management,Written by: National Security Agency,Tom Brooks,2 hrs and 12 mins,2024-01-11,English,,
Software Tarmacs: The Road Ahead,Written by: Mike Blake,Mike Blake,5 mins,2024-01-10,English,,
Business 5.0 (German Edition),"Written by: Julia Finkeissen, Thomas R. Köhler",Robert Gregor Kühn,8 hrs and 59 mins,2024-01-25,German,,
Heilung für dein inneres Kind,Written by: D. Werner,Nils Wittrock,1 hr and 3 mins,2024-01-08,German,,
Fundamentals of Data Analytics,Written by: Russell Dawson,Michael F. Ward,4 hrs and 20 mins,2024-01-05,English,,
"Training Materials, Presentations, and U.S. Copyright Law","Written by: Kevin Siegel, Linda Rohrbaugh",Mary Ann Murphy,1 hr and 8 mins,2024-01-03,English,,
Unleashing the Power of IT Managed Services,"Written by: Dr. Julia Diakakis, Saki Diakakis",B. Patrick,3 hrs and 14 mins,2023-12-28,English,,
2023 NSA Cybersecurity in Review,Written by: National Security Agency,Tom Brooks,3 hrs,2023-12-28,English,,
From Big Data to Big Profits,Written by: Russell Walker,Asa Siegel,13 hrs and 1 min,2024-01-23,English,,
Hacker Culture A to Z,Written by: Kim Crawley,Jen Jayden,11 hrs and 18 mins,2024-01-09,English,,
The Architect Way,Written by: Darryl Kanouse,Susanna Burney,1 hr and 19 mins,2023-12-21,English,,
Cyber Resilience,Written by: Alan Calder,Alan Medcroft,3 hrs and 20 mins,2023-12-21,English,,
Too Cool for Mentorship,"Written by: Noel DeJesus, Lucas Dyer, Kyle Hogan, Michael McGonigal, Douglas Fields, Frances Gaskins, Dwayne Baker, Dave Tejeda, Gary Hensler",L.M. Wright,1 hr and 19 mins,2023-12-21,English,,
Tips for: Securing the Software Supply Chain,Written by: National Security Agency,Tom Brooks,3 hrs and 45 mins,2023-12-20,English,,
Der Traum von der Unsterblichkeit,Written by: Renée Schroeder,Luise Georgi,2 hrs and 13 mins,2024-01-26,German,,
Reboot,Written by: Elaine Kasket,Elaine Kasket,9 hrs and 20 mins,2024-01-01,English,,
Revolución de la IA 2023 [AI Revolution 2023],Written by: Nicholas Penn,Tomás Lara,4 hrs and 57 mins,2023-12-06,Spanish,,
Podcasting Made Simple,Written by: Amante Launch,Todd Race,4 hrs and 51 mins,2023-12-04,English,,
AI Prompt Genius Unleashed,Written by: Devon Gates,Brian Holzapfel,2 hrs and 10 mins,2023-12-04,English,,
Digital Products Creation Formula,Written by: Russell Scott,Charles Featherstone,4 hrs and 9 mins,2023-12-04,English,,
Election Hacks: Zeidman v. Lindell,Written by: Bob Zeidman,Bob Zeidman,8 hrs and 29 mins,2023-12-03,English,,
Cybersecurity Jobs 3-in-1 Value Bundle,Written by: Bruce Brown,Frank Block,5 hrs and 32 mins,2023-12-03,English,,
The Power of Leading Data Analytics,Written by: Bruno Dossantos,Rebekah Amber Clark,2 hrs and 23 mins,2023-12-04,English,,
Artificial Intelligence for Noobs,Written by: Joseph Clark,Joseph Clark,32 mins,2023-12-03,English,,
C#,Written by: Ryan Campbell,Alejandro Enriquez,2 hrs and 23 mins,2023-12-04,English,,
The Livestream Blueprint,Written by: JP Hightek,Helpful Matthew,1 hr and 49 mins,2023-12-03,English,,
The Ultimate Guide to Launching Your Podcast,Written by: StanTheMan Peters,"StanTheMan Peters, Darron Johnson",28 mins,2023-12-03,English,,
Social Media Addiction and Cell Phone Addiction Mastery Boxset,Written by: Gabrielle Townsend,"Jacki Giardina, Hedy V Parks",8 hrs and 12 mins,2023-12-02,English,,
Die Überwachungsmafia - das gute Geschäft mit unseren Daten,"Written by: Pär Ström, Dieter Jakobik",Martin Pfisterer,8 hrs and 34 mins,2023-11-24,German,,
ChatGPT's Linguistic Revolution,Written by: Thomas McMurray,Kat Metcalfe,4 hrs and 2 mins,2023-12-02,English,,
The Missing Training Manual,Written by: Michael A Goedeker,Mandy Grant-Grierson,4 hrs and 13 mins,2023-11-22,English,,
AI Unlocked,Written by: Nicholas Penn,Gordon R Ott,2 hrs and 24 mins,2023-11-21,English,,
Demystifying AI,Written by: Ronke Fatade,Rush Stone,48 mins,2023-11-21,English,,
AI Revolution 2023,Written by: Nicholas Penn,Remy Gibson,1 hr and 54 mins,2023-11-20,English,,
Blogging for Beginners,"Written by: Blake Preston, Brian Scott Fitzgerald",Tom Brooks,3 hrs and 42 mins,2023-11-20,English,,
Unleashing the True Power of AI in Business,Written by: Nicholas Penn,Jakob Andrews,1 hr and 34 mins,2023-11-20,English,,
The Most Followed TikTokers and Their Stories,Written by: Johnny Walker,Anthony Muldowney,1 hr and 5 mins,2023-12-15,English,,
CHFI Computer Hacking Forensic Investigator,Written by: Jake T Mills,Tom Brooks,5 hrs and 7 mins,2023-12-15,English,,
"Artificial Intelligence Pushing Boundaries, Is It Worth It?",Written by: B.B. Jankoski,Dave Clemente,2 hrs and 19 mins,2023-12-14,English,,
Unleashing the Algorithm,Written by: Manon Huang,Rusty,1 hr and 45 mins,2023-12-15,English,,
Tips For,Written by: Cybersecurity and Infrastructure Security Agency,Tom Brooks,1 hr and 14 mins,2023-12-14,English,,
The Art of Content Creation,Written by: Bill Vincent,Doug Cooper,1 hr,2023-12-08,English,,
Marketing de Contenidos: Aprende Las Estrategias y Claves Para Crear Contenido en Redes Sociales Desde Cero [Content Marketing: Learn the Strategies and Keys to Create Content on Social Networks from Scratch],Written by: Pilar L. Prado,Luis Aponte,2 hrs and 57 mins,2023-12-08,Spanish,,
R Programming,Written by: Ryan Campbell,Alejandro Enriquez,3 hrs and 28 mins,2023-12-08,English,,
Secretos De Las Redes Sociales [Secrets of Social Networks],Written by: Khen R. Sevilla,Luis Aponte,2 hrs and 5 mins,2023-12-06,Spanish,,
Top Ten AI Programs Apps Authors Should Use,Written by: B Alan Bourgeois,Jeffrey Schmidt,57 mins,2023-12-06,English,,
The Elements of Voice First Style,"Written by: Ahmed Bouzid, Weiye Ma",Tim Lounibos,5 hrs and 28 mins,2023-11-28,English,,
Generation Z,Written by: Valentina Vapaux,Regine Lange,4 hrs and 58 mins,2024-01-25,German,,
Künstliche Intelligenz,Written by: Manfred Spitzer,Julian Mehne,9 hrs and 13 mins,2023-12-01,German,,
Benny the Blue Whale,Written by: Andy Stanton,"Andy Stanton, Nish Kumar",10 hrs and 55 mins,2023-12-05,English,,
「超」創造法　生成系AIで知的活動はどう変わる？,Written by: 野口 悠紀雄,中村 友紀,7 hrs,2024-02-09,Japanese,,
堀江貴文のChatGPT大全,"Written by: 堀江 貴文, 荒木 賢二郎",濱本 大史,2 hrs and 24 mins,2024-01-19,Japanese,,
